English,Russian,
to freese someone's tush off,Замерзнуть до костей,
dejectedly,удрученно ( в огорченном состоянии ),
snaked,извиваться,
manic gleams,маниакальные проблески,
to stamp,ставить печать,
pavement,тротуар,
sluggish,вялый,
jiggle,покачиваться,
voluble,говорливый,
surge,волна,
ever-tightening claw,постоянно затягивающийся коготь,
to glare,вопить,
twitching,дергающийся,
rescind,аннулировать,[ r i s: i n d]
no-nonsence,нормальный,
flaky,хлопьевидный,
flourish,процветать,
camphor,камфара,
haggling,торг,
mushroomed,собирать (грибы),
to rub,тереться,
screech,завизжать,
halt,остановка,
holy moly,египетская сила,
to mutter,пробормотать,
necklines,вырезы,[n e k l a i n z]
beaded,украшенный бусами,
sleeve,рукав,
ruched,закатаный (рукав),[r u: sh t]
beeline,прямая линия,
frantic,неистовый (безумный),
briskly,быстро,
immaculately,безукорызненно,
squealed,визжал,
twin-set,похожи,
chignon,шиньон,[ s h i n` o n]
tantrum,вспышка гнева,
cherish,лелеять,
bicker,"спорить, ссориться",
loathe,ненавидеть,[ l o a zth ]
cling,"липнуть, цепляться",
relentless,"неумолимый, безжалостный",
BFF,навеки лучшие друзья,
perpetuated,увековечена (сохранена),
crumbling brickwork,рушащаяся кирпичная кладка,
decrepit,дряхлый,
dazzling,ослепительный,
hunky-dory,первокласный,
draped,украшенный тканями,
swathe,"бинтовать, обматывать",
chiffon,шифон (ткань),[ sh i f o: n]
juxtaposition,сопоставление,
dire need,острая необходимость,
incongruous,несоответственный,
mites,"лепта, клещи",
rack,подставка,
excessive,"чрезменный, излишний",
aisle,проход,[ a: i l ]
iridescent sheen,райдужный блеск,
intricate lacework,запутанное кружево,
diaphanous,прозрачный,[ d ai `a: f e n e s]
cessation,прекращение,[ s e s `e i sh e n ]
possessed by,одержим чем-либо,
garment,одежда,
skimmed,соскользнуло,
cinched,"затянул, нажал",[ s i n tch t ]
exquisite,изысканный,
brumby,необъезженная лошадь,
dibs,бабки,
beige,бежевый,[ b e i dj ]
garment bag,мешок одежды,
crooked,кривой,
bra,бюстгальтер,
knickers,дамские панталоны,
emblazoned,украшенный,
thighs,бедра,
bridesmaid,подружка невесты,
wobbly,шаткий,
frou-frou,шелест,
exorbitant,"чрезменый, непомерный",
tax deductible,налоговый вычет,
mortgage,ипотека,[ m o: g i dj ]
clogged,забитый,
slid skyward,скользнул в небо,
hip,бедро,
clutched on to,схватился на,
desperation,отчаяние,
pass out,раздавать,
paisley,Пейсли (имя),
diffused,диффузный,
mother-of-peril,госпожа опасность,
wholly daft,полностью ненормальный,
spate,поток,
abstinence,воздержание,[ e b s t i n e n s ]
knee-jerk,коленный рефлекс,
cure of heat,лечащее действие тепла,
groaning,стон,
flex,сгибать,
personalities,личности,
lick of difference,проблеск разницы,
tetchy lift,раздражительный лифт,
cluttered house,суматошный дом,
chintz,ситец,
frilly curtains,вычурные шторы,
sleek,гладкий,
opulence,богатство,
to sleep over,просыпать,
shoo away,"отпугивать, проганять",
inconvenience,неудобство,
weighed,взвешенный,
crumple,мять,
sob,рыдать,
hold the door,держать дверь,
perverse,извращенный,
incredulity,недоверчивость,
blanched,бланшированый,[ b l a: n sh t ]
twinge of guilt,чувство вины,
jab,ткнуть,
foyer,фойе (вестибюль),[ f o `ie ]
brow pinched into the frown,"лоб извился, нахмурившись",
denim,джинсы,
bulge,выпуклость,
soothing,успокаивающий,
unadulterated,"чистейший, не тронутый",
tidal,приливный,
whoosh,свист,
hasky,хаски,
expanse,пространство,[ i k s p `e n s ]
stubble,щетина,
overkill,перебор (выход за рамки),
complementing,дополняя,
dinky,"изящный, нарядный",
invade,вторгаться,
gravelly,состоящий из гравия,[ g r a: v e l i ]
waggle,покачивание,
cat-call,свист при виде красивой женщины,
belly,живот,
crinkles,извилины,
satchel,ранец,
tingled,покалывать,
pinpricks,уколы,
spine,позвоночник,
yank,рывок,[ ya: n'' k ]
counteract,противодействовать,
thrumming,"бренчать, тренькать, барабанить",
grunted,ворчать,
contrary,вопреки,[ k e n t r `e r i ]
impeccably,безукорызненно,
juddered,,
infinitesimal,,
glint,,
scraggly beard,,
promenade,,
nonchalance,,
notch,,
i'm set,,
bow,,
velvety,,
hallucinating,,
lumberjack,,
friction,,
nemesis,,
sci-fi bent,,
humming,,
drought,,
enigmatic,,
palms itch,,
akin,,
stallion jostling,,
springboard,,
to leap hack,,
addled,,
evoke,,
mere four floors,,
sagely,,
pre-negotiation,,
glint,,
dinged,,
to be wont to do,,
momentum,,
euphemisms,,
stifled,,
yawn,,
jet lag,,
georgeousness gracing,,
tomato-esque,,
resembled,,
serenely,,
combustion,,
imbedded,,
retinas,,
whump,,
reverie,,
shaft,,
halver,,
hulking,,
garment,,
trudge,,
cabbie,,
slanted,,
wink,,
tousled,,
restive,,
hothouse,,
rehitched,,
merely,,
nibbled,,
gut tighten,,
inconvenience,,
hip,,
sway,,
on vertigo,,
investment,,
ship out,,
mortar,,
flattened,,
dint,,
spreadeagled body,,
neatly,,
yawned,,
popped,,
fumbled,,
barebones,,
gargantuan,,
arghuraguragh,,
spun,,
heel,,
fists,,
thundering,,
reposing,,
bent,,
got in one piece,,
cricked,,
frission,,
strode,,
treat,,
power-nap,,
gift born of chronic insomnia,,
godawful,,
hullabaloo,,
contemplated,,
linen,,
pile with blankets,,
fatigue,,
convertible rumbling,,
precarious,,
cliff,,
stir,,
hunching,,
potato wedges,,
stance,,
neglected,,
inducement,,
humming,,
fluoro,,
indiscriminate at,,
fidelity,,
humona humona,,
pork rib,,
as if used to keeping himself upright in stormy seas,,
shrugged,,
had fuzzier principles,,
salivating,,
scouring,,
hunkered down,,
entanglement,,
squirming,,
flutter,,
eyelashes,,
ravage,,
loco,,
tilting,,
moot,,
afresh,,
caressed,,
neutered,,
qualms,,
fidgety,,
emphatically,,
tugged,,
ridden,,
convertible slammed into his head,,
tousled,,
scranched up,,
coiled,,
piranha-infested,,
steadfastly,,
chest rose,,
arching,,
nostrils,,
obvilious,,
actuality,,
brewing,,
moist,,
plump,,
hitchcock,,
vet,,
reproach,,
mob,,
hesitation,,
hole-in-a-wall joint,,
flinch,,
shrivel,,
avow,,
primly,,
hoot,,
groin,,
furrowing,,
eluded,,
thwart,,
check on somebody,,
whatever you say,,
lid,,
the same goes for you,Тебе то же (при прощании),
appeal,,
to pace around,,
jerk,,
outset,,
seductive,,
intimidating,,
deep tan,,
gooey,,
hazard,,
to rovel,,
neglected,,
furnace,,
doorjamb,,
rinse,,
to cup,,
seam,,
blissful,,
trebling,,
to mere threads,,
I would like to make an order for delivery please.,Я бы хотел сделать заказ с доставкой пожалуйста.,
insistent slide,,
stifled,,
delicious hum,,
hip,,
sluggish,,
subterranean,,
fresh goose bumps,,
palpable effort,,
semblance of decency,,
to relive,,
shuddering,,
negate,,
relapse,,
tentative toe,,
to dangle,,
blobs of sunlight,,
tummy,,
smudge,,
eyeliner,,
leggy blonde,,
dalliance,,
expansive,,
beer napkin,,
glimmer of anticipation,,
schmancy joint,,
to get for someone's buck,,
garnish,,
to slap someone on the back,,
antsy,,
to whip the beanie off something,,
nullify,,
to press in on somebody,,
unleashed by,,
to bury someone to the hilt,,
hush-hush,,
cobblestone,,
sensuous,,
frustrated,,
flirtatious,,
to barrell into somebody,,
armpit,,
malaise,,
lounged,,
splayed,,
vindicated,,
relieved,,
conjure,,
wind-tousled knot,,
errant lift,,
unfurled,,
double klump klump,,
to twirle something over,,
wafting skin,,
demure cardigan,,
groin,,
bliss,,
belatedly,,
stark,,
worship,,
"Drinking in the tiny V of her G-string, her pale thighs",,
juncture,,
navel,,
jut,,
urgency,,
tether,,
